age_head,DSI,EIC,FLPDYR,f2441,f6251,MARS,XTOT,e00200,e00300,e00400,e00600,e00700,e00800,e00900,e01200,e01700,e01400,e02000,e02100,e02300,e02400,e03150,e03300,e03400,e03500,e03270,e07300,e07400,e07600,e09700,e09800,e09900,e11200,e17500,e18500,e19200,e20100,e19800,e20500,e20400,e27200,e26270,e32800,MIDR,n24,e00650,e01100,e03210,e03220,e03230,e03240,e03290,e07240,e07260,p08000,e18400,p22250,p23250,e24515,e24518,p25470,e58990,e62900,e87530,RECID,s006,p87521,age_spouse,e00200p,e00900p,e02100p,filer
99,0,0,1991,0,1,2,4,0,154800,294900,8329,1000,0,0,0,0,0,-12580000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1766301.382,-376472.979,0,-2090083.04,-1450490.523,-1708579.13,-49670.385,-2008684.092,-512374.274,-1476401.035,-336598.686,-704945.037,-1466005.728,-2289660.801,-1950662.801,-735033.025,-1651054.293,-752158.827,-2224482.529,-937878.3,-13324.869,-1759094.296,-1861075.347,0,0,0,0,0,31
99,0,0,1991,0,0,2,4,47220,11860,0,0,0,0,0,0,0,58000,-149500,0,0,0,0,0,0,0,0,0,0,0,0,0,5800,0,0,0,0,0,0,0,0,0,0,0,-1734825.642,-369764.178,0,-2052837.465,-1424642.578,-1678132.009,-48785.251,-1972889.059,-503243.692,-1450091.36,-330600.45,-692382.817,-1439881.299,-2248858.723,-1915901.715,-721934.633,-1621632.273,-738755.25,-2184841.937,-921165.177,-13087.418,-1727746.988,-1827910.722,0,0,47220,0,0,32
99,0,0,1991,0,1,2,3,21780,737700,0,5481,16780,0,0,0,0,0,-8318000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197600,0,-1718721.775,-366331.768,0,-2033781.59,-1411418.048,-1662554.413,-48332.393,-1954575.321,-498572.232,-1436630.597,-327531.585,-685955.635,-1426515.312,-2227983.241,-1898116.973,-715233.13,-1606579.146,-731897.607,-2164560.704,-912614.276,-12965.931,-1711708.831,-1810942.774,0,0,21780,0,0,33
99,0,0,1991,0,1,2,2,39290,1073000,749,14140,0,0,-205,0,0,0,-2184000,0,0,0,0,0,0,0,1718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1697493.951,-361807.227,0,-2008662.482,-1393985.712,-1642020.308,-47735.442,-1930434.484,-492414.398,-1418886.863,-323486.263,-677483.44,-1408896.512,-2200465.561,-1874673.45,-706399.331,-1586736.388,-722857.985,-2137826.351,-901342.635,-12805.79,-1690567.623,-1788575.934,0,0,39290,-205,0,34
99,0,0,1991,0,1,2,2,111700,1660000,0,62290,0,0,0,0,0,0,-10350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,0,0,-1686514.042,-359466.948,0,-1995669.84,-1384968.987,-1631399.219,-47426.675,-1917947.844,-489229.311,-1409709.069,-321393.855,-673101.27,-1399783.339,-2186232.278,-1862547.49,-701830.124,-1576472.893,-718182.319,-2123998.237,-895512.475,-12722.958,-1679632.515,-1777006.879,0,0,111700,0,0,35
99,0,0,1991,0,1,2,4,0,197600,0,49,0,0,177400,0,0,0,57510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25570,0,0,-1659430.266,-353694.258,0,-1963621.322,-1362727.732,-1605200.534,-46665.049,-1887147.467,-481372.764,-1387070.512,-316232.582,-662291.918,-1377304.179,-2151123.513,-1832636.788,-690559.415,-1551156.271,-706649.009,-2089888.891,-881131.416,-12518.64,-1652659.25,-1748469.876,0,0,0,177400,0,36
99,0,0,1991,0,1,2,3,13110,317700,0,0,0,0,-19950000,0,0,0,1215000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324600,0,0,-1646254.375,-350885.922,0,-1948030.152,-1351907.661,-1592455.227,-46294.528,-1872163.499,-477550.66,-1376057.16,-313721.693,-657033.315,-1366368.372,-2134043.573,-1818085.636,-685076.367,-1538840.077,-701038.21,-2073295.155,-874135.225,-12419.241,-1639537.121,-1734587.01,0,0,13110,-19950000,0,37
99,0,0,1991,0,1,1,1,1423,355400,0,574000,0,0,0,0,0,0,-338600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49400,0,-1629418.514,-347297.494,0,-1928108.1,-1338082.016,-1576169.558,-45821.084,-1853017.318,-472666.86,-1361984.544,-310513.334,-650313.988,-1352394.84,-2112219.206,-1799492.497,-678070.25,-1523102.717,-693868.855,-2052092.047,-865195.647,-12292.233,-1622769.956,-1716847.792,0,0,1423,0,0,38
99,0,0,1991,0,0,2,2,0,1428000,99280,338400,0,0,1595,0,0,0,-4295000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3170,0,0,-1625026.551,-346361.382,0,-1922911.044,-1334475.326,-1571921.123,-45697.577,-1848022.663,-471392.826,-1358313.426,-309676.371,-648561.12,-1348749.571,-2106525.893,-1794642.113,-676242.568,-1518997.319,-691998.589,-2046560.802,-862863.583,-12259.1,-1618395.913,-1712220.17,0,0,0,1595,0,39
99,0,0,1991,0,1,2,2,7665,2580,0,28,0,0,-241300,0,0,0,-396800,-16350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168600,0,0,-1597942.775,-340588.692,0,-1890862.526,-1312234.071,-1545722.437,-44935.951,-1817222.285,-463536.279,-1335674.869,-304515.098,-637751.768,-1326270.412,-2071417.128,-1764731.411,-664971.858,-1493680.697,-680465.279,-2012451.455,-848482.523,-12054.782,-1591422.648,-1683683.167,0,0,7665,-241300,-16350,40
99,0,0,1991,0,0,2,2,48730,26770,0,645,0,0,59490,0,0,0,-13120000,-180600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11130,0,0,-1588426.854,-338560.45,0,-1879602.236,-1304419.575,-1536517.494,-44668.353,-1806400.531,-460775.87,-1327720.782,-302701.678,-633953.887,-1318372.329,-2059081.616,-1754222.245,-661011.879,-1484785.668,-676413.035,-2000467.09,-843429.719,-11982.994,-1581945.555,-1673656.652,0,0,48730,59490,-180600,41
